DATETIME,IN_X,IN_Y,IN_Z,OUT_X,OUT_Y,OUT_Z
1978-12-05 15:11:12,5118.045840171946,0.0,4249.083522113756,6570.747597064338,0.0,172.06108122765013
1978-12-06 14:21:42,4228.125032281026,0.0,5431.265755917177,6624.87088544913,0.0,-1874.6495008743536
1978-12-07 14:31:46,4613.901841407044,0.0,4761.177354169942,6565.305496522915,0.0,-1515.7202041689625
1978-12-08 14:40:12,3623.7077848716535,0.0,6176.460385193171,6552.800701447028,0.0,-2218.000668871709
1978-12-09 14:48:14,6051.0,0.0,3.7051688908203173e-13,6365.05706503517,0.0,-4506.711612566957
1978-12-11 15:04:10,4496.487066601915,0.0,4889.892949736395,6524.381953801935,0.0,-1506.2722598865203
1978-12-12 15:11:51,4257.35244545215,0.0,5257.392429256408,6537.205418522201,0.0,-2522.497634497198
1978-12-13 15:19:28,4938.242082235083,0.0,4129.01127841067,6498.330115568939,0.0,-1416.8650991148686
1978-12-14 15:28:58,4244.402306651874,0.0,5260.145440887375,6529.8507005090005,0.0,-1872.4045580648747
1978-12-15 15:38:23,4826.211621946851,0.0,4315.131212394955,6456.43614473083,0.0,-678.5987835336068
1978-12-16 15:47:36,3679.753869442565,0.0,6052.131893830675,6527.1104980577975,0.0,-2008.0013810114026
1978-12-17 15:56:41,4713.745791330384,0.0,4504.553320221117,6513.846959504195,0.0,-1444.0851041950218
1978-12-18 16:05:40,4387.322390429796,0.0,5029.282080221132,6520.449558759353,0.0,-1637.823724237429
1978-12-20 16:23:22,3884.713100411279,0.0,5759.324016539875,6508.924468080588,0.0,-2843.679178251624
1978-12-21 16:31:58,6051.0,0.0,3.7051688908203173e-13,6506.5412277624555,0.0,-2829.1246440246214
1978-12-22 16:40:26,4526.401129320682,0.0,4803.300200537589,6513.219326453733,0.0,-2591.9247684895445
1978-12-23 16:48:46,3587.0352394202064,0.0,6163.1436127318675,6493.1740851014065,0.0,-3083.185738901812
1978-12-24 16:57:01,3911.83153171427,0.0,5713.085862078916,6483.001455955891,0.0,-3161.971081789616
1978-12-25 17:05:12,3760.4324471625987,0.0,5925.493381173142,6484.657124567406,0.0,-3176.8007455295633
1978-12-26 17:13:23,4174.184802707963,0.0,5342.712909453575,6523.079118357874,0.0,-2309.943465897695
1978-12-27 17:21:31,4396.931111955761,0.0,5004.921657400391,6521.9157829458345,0.0,-2464.426610828981
1978-12-28 17:29:35,3890.2739832743346,0.0,5745.910661945489,6489.588194475498,0.0,-3095.3747860516405
1978-12-29 17:37:40,4242.248756066954,0.0,5238.740926181441,6457.010511000189,0.0,-701.455815310619
