   51  79024  19:46:53     70698  19:38:18   58.1 20.1  1005.  108.7     72184  20:03:04  -47.1 23.1  2705.  128.0
   52  79025  19:49:20         0  00:00:00    0.0  0.0     0.    0.0     72138  20:02:18  -38.1 22.9  1927.  135.6
   53  79026  19:51:45     71134  19:45:34   48.6 20.8   620.  119.3     72460  20:07:40  -46.3 23.3  2639.  129.4
   54  79027  19:54:10     71314  19:48:34   46.0 21.1   543.  122.6     72195  20:03:15  -24.5 22.7  1108.  146.4
   56  79029  19:58:58     71466  19:51:06   55.3 20.8   899.  115.3     72306  20:05:06  -11.9 22.7   622.  154.8
   57  79030  20:01:23     71522  19:52:02   60.5 20.5  1173.  110.4     72666  20:11:06  -26.8 23.1  1238.  147.2
   58  79031  20:03:34     71587  19:53:07   64.1 20.2  1370.  106.7     73379  20:22:59  -54.3  0.2  3536.  122.4
   59  79032  20:04:31     71481  19:51:21   70.5 19.1  1976.   98.4         0  00:00:00    0.0  0.0     0.    0.0
   60  79033  20:05:24     71670  19:54:30   65.3 20.3  1472.  106.4     73166  20:19:26  -41.3 23.8  2177.  135.5
   61  79034  20:06:15         0  00:00:00    0.0  0.0     0.    0.0     73209  20:20:09  -40.8 23.9  2149.  136.0
   62  79035  20:07:05     71871  19:57:51   60.1 21.0  1141.  113.9         0  00:00:00    0.0  0.0     0.    0.0
   64  79037  20:08:47     71998  19:59:58   58.5 21.4  1068.  116.8     73490  20:24:50  -46.5  0.5  2681.  130.0
   65  79038  20:09:23     71860  19:57:40   67.3 20.4  1642.  106.1         0  00:00:00    0.0  0.0     0.    0.0
   66  79039  20:09:05     71985  19:59:45   60.4 21.4  1150.  115.5     73359  20:22:39  -40.0  0.5  2063.  136.6
   67  79040  20:08:46     72137  20:02:17   49.6 22.3   663.  128.3     73419  20:23:39  -43.7  0.7  2381.  132.5
   68  79041  20:08:26     71874  19:57:54   64.0 21.3  1397.  112.0     73191  20:19:51  -33.1  0.5  1582.  143.4
   69  79042  20:08:05         0  00:00:00    0.0  0.0     0.    0.0     73113  20:18:33  -29.9  0.5  1389.  146.6
   70  79043  20:07:44         0  00:00:00    0.0  0.0     0.    0.0     73339  20:22:19  -42.7  1.0  2316.  132.6
   71  79044  20:07:23         0  00:00:00    0.0  0.0     0.    0.0     73131  20:18:51  -33.2  0.8  1600.  142.4
   72  79045  20:06:48     71817  19:56:57   62.0 21.9  1248.  116.2     72962  20:16:02  -25.3  0.7  1123.  150.3
   73  79046  20:05:23     71859  19:57:39   54.5 22.6   857.  125.4         0  00:00:00    0.0  0.0     0.    0.0
   74  79047  20:03:55     71624  19:53:44   63.0 22.0  1323.  115.7         0  00:00:00    0.0  0.0     0.    0.0
   77  79050  19:59:27     71533  19:52:13   52.5 23.2   787.  128.9     72431  20:07:11  -19.2  1.1   866.  153.2
   78  79051  19:57:57     71298  19:48:18   61.1 22.7  1223.  119.2         0  00:00:00    0.0  0.0     0.    0.0
   79  79052  19:56:14     71228  19:47:08   59.3 22.9  1104.  121.5     72366  20:06:06  -28.0  1.5  1248.  142.9
   80  79053  19:53:44     71115  19:45:15   57.3 23.2   989.  124.0     72067  20:01:07  -17.9  1.4   794.  151.5
   81  79054  19:51:13     71006  19:43:26   54.6 23.5   866.  127.1     72488  20:08:08  -49.1  2.4  2891.  119.9
   82  79055  19:48:39         0  00:00:00    0.0  0.0     0.    0.0     72479  20:07:59  -54.4  2.8  3517.  113.7
   83  79056  19:46:03     70527  19:35:27   64.1 22.9  1409.  116.6     71985  19:59:45  -40.6  2.3  2099.  127.2
   84  79057  19:43:27     70303  19:31:43   67.1 22.5  1653.  112.9     71988  19:59:48  -47.7  2.7  2750.  119.3
   85  79058  19:40:42     70744  19:39:04   26.5  1.0   176.  151.5     70956  19:42:36    8.2  1.4   187.  158.4
   86  79059  19:37:25     70223  19:30:23   51.6  0.2   740.  129.9     71590  19:53:10  -46.4  2.8  2594.  119.2
   87  79060  19:34:05     70094  19:28:14   46.6  0.6   566.  134.4     71090  19:44:50  -31.2  2.4  1434.  132.3
   88  79061  19:30:40     69654  19:20:54   61.6 23.7  1236.  119.8     70815  19:40:15  -26.9  2.4  1196.  134.9
   89  79062  19:27:13     71480  19:51:20  -62.7  4.2  4789.  100.5     74315  20:38:35  -66.6 11.2 16475.   65.8
   90  79063  19:23:43     69153  19:12:33   65.7 23.4  1530.  115.3     70625  19:37:05  -39.7  3.0  2018.  122.0
