YEAR,INBOUND_ALTITUDE
1978,601.0
1978,832.0
1978,579.0
1978,1110.0
1978,0.0
1978,592.0
1978,714.0
1978,386.0
1978,708.0
1978,423.0
1978,1032.0
1978,469.0
1978,623.0
1978,896.0
1978,0.0
1978,549.0
1978,1080.0
1978,873.0
1978,967.0
1978,729.0
1978,611.0
1978,888.0
1978,690.0
1978,1109.0
1978,953.0
1979,996.0
1979,1330.0
1979,0.0
1979,1461.0
1979,0.0
1979,2073.0
1979,863.0
1979,1711.0
1979,0.0
1979,853.0
1979,424.0
1979,0.0
1979,236.0
1979,320.0
1979,995.0
1979,0.0
1979,831.0
1979,433.0
1979,1167.0
1979,192.0
1979,1005.0
1979,0.0
1979,620.0
1979,543.0
1979,899.0
1979,1173.0
1979,1370.0
1979,1976.0
1979,1472.0
1979,0.0
1979,1141.0
1979,1068.0
1979,1642.0
1979,1150.0
1979,663.0
1979,1397.0
1979,0.0
1979,0.0
1979,0.0
1979,1248.0
1979,857.0
1979,1323.0
1979,787.0
1979,1223.0
1979,1104.0
1979,989.0
1979,866.0
1979,0.0
1979,1409.0
1979,1653.0
1979,176.0
1979,740.0
1979,566.0
1979,1236.0
1979,4789.0
1979,1530.0
1979,1876.0
1979,343.0
1979,1324.0
1979,1175.0
1979,541.0
1979,905.0
1979,1167.0
1979,1205.0
1979,873.0
1979,1803.0
1979,851.0
1979,629.0
1979,756.0
1979,1190.0
1979,1612.0
1979,1328.0
1979,1275.0
1979,667.0
1979,571.0
1979,1411.0
1979,1857.0
1979,1761.0
1979,968.0
1979,1070.0
1979,950.0
1979,2122.0
1979,437.0
1979,1049.0
1979,1768.0
1979,1872.0
1979,1973.0
1979,1241.0
1979,1191.0
1979,564.0
1979,1152.0
1979,804.0
1979,1635.0
1979,959.0
1979,607.0
1979,731.0
1979,691.0
1979,841.0
1979,525.0
1979,639.0
1979,760.0
1979,1372.0
1979,759.0
1979,1109.0
1979,563.0
1979,668.0
1979,1131.0
1979,1251.0
1979,1050.0
1979,665.0
1979,888.0
1979,835.0
1979,596.0
1979,1329.0
1979,782.0
1979,827.0
1979,1115.0
1979,598.0
1979,720.0
1979,733.0
1979,483.0
1979,799.0
1979,693.0
1979,576.0
1979,1038.0
1979,949.0
1979,742.0
1979,750.0
1979,689.0
1979,370.0
1979,1410.0
1979,615.0
1979,491.0
1979,582.0
1979,951.0
1979,421.0
1979,419.0
1979,611.0
1979,780.0
1979,709.0
1979,318.0
1979,307.0
1979,492.0
1979,754.0
1979,318.0
1979,393.0
1979,545.0
1979,528.0
1979,958.0
1979,713.0
1979,708.0
1979,508.0
1979,658.0
1979,383.0
1979,342.0
1979,151.0
1979,329.0
1979,386.0
1979,417.0
1979,699.0
1979,891.0
1979,836.0
1979,636.0
1979,354.0
1979,299.0
1979,604.0
1979,1257.0
1979,417.0
1979,847.0
1979,495.0
1979,873.0
1979,326.0
1979,382.0
1979,651.0
1979,389.0
1979,483.0
1979,342.0
1979,520.0
1979,327.0
1979,1408.0
1979,1001.0
1979,427.0
1979,732.0
1979,623.0
1979,1031.0
1979,875.0
1979,797.0
1979,582.0
1979,883.0
1979,442.0
1979,525.0
1979,572.0
1979,718.0
1979,1019.0
1979,684.0
1979,993.0
1979,986.0
1979,728.0
1979,860.0
1979,1068.0
1979,929.0
1979,1368.0
1979,1099.0
1979,1517.0
1979,1230.0
1979,1182.0
1979,1473.0
1979,922.0
1979,975.0
1979,867.0
1979,1139.0
1979,333.0
1979,653.0
1979,0.0
1979,772.0
1979,1522.0
1979,735.0
1979,777.0
1979,407.0
1979,686.0
1979,1634.0
1979,602.0
1979,1288.0
1979,1504.0
1979,1413.0
1979,1534.0
1979,923.0
1979,0.0
1979,1321.0
1979,1270.0
1979,826.0
1979,2050.0
1979,1167.0
1979,1280.0
1979,1748.0
1979,1562.0
1979,745.0
1979,330.0
1979,1384.0
1979,0.0
1979,364.0
1979,836.0
1979,2017.0
1979,1579.0
1979,909.0
1979,1892.0
1979,1263.0
1979,2408.0
1979,782.0
1979,1283.0
1979,970.0
1979,1872.0
1979,967.0
1979,700.0
1979,1355.0
1979,917.0
1979,1591.0
1979,672.0
1979,393.0
1979,752.0
1979,0.0
1979,1083.0
1979,1259.0
1979,1212.0
1979,1950.0
1979,1267.0
1979,1864.0
1979,1522.0
1979,1595.0
1979,2829.0
1979,2054.0
1979,1376.0
1979,855.0
1979,1215.0
1979,1287.0
1979,1817.0
1979,1311.0
1979,893.0
1979,1498.0
1979,1072.0
1979,530.0
1979,1121.0
1979,717.0
1979,659.0
1979,1019.0
1979,612.0
1979,987.0
1979,1245.0
1979,641.0
1979,875.0
1979,412.0
1979,829.0
1979,1243.0
1979,1482.0
1979,550.0
1979,923.0
1979,682.0
1980,898.0
1980,1252.0
1980,1169.0
1980,1080.0
1980,605.0
1980,1248.0
1980,817.0
1980,1250.0
1980,1181.0
1980,1181.0
1980,1373.0
1980,368.0
1980,514.0
1980,433.0
1980,400.0
1980,439.0
1980,440.0
1980,407.0
1980,639.0
1980,545.0
1980,439.0
1980,674.0
1980,288.0
1980,768.0
1980,417.0
1980,618.0
1980,1151.0
1980,925.0
1980,1208.0
1980,1740.0
1980,2937.0
1980,731.0
1980,608.0
1980,618.0
1980,781.0
1980,625.0
1980,854.0
1980,452.0
1980,392.0
1980,649.0
1980,837.0
1980,636.0
1980,343.0
1980,0.0
1980,641.0
1980,756.0
1980,707.0
1980,675.0
1980,568.0
1980,689.0
1980,716.0
1980,1071.0
1980,1424.0
1980,734.0
1980,885.0
1980,711.0
