OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_ALTITUDE
0.0,0.0
115.5,1088.0
0.0,0.0
0.0,0.0
0.0,0.0
122.7,1347.0
0.0,0.0
127.6,1080.0
0.0,0.0
0.0,0.0
130.6,1329.0
125.5,1602.0
0.0,0.0
0.0,0.0
133.8,1186.0
0.0,0.0
121.4,1704.0
130.8,1236.0
127.9,1314.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
129.5,1101.0
0.0,0.0
0.0,0.0
103.7,2411.0
0.0,0.0
107.2,2070.0
127.5,987.0
112.7,1632.0
0.0,0.0
0.0,0.0
0.0,0.0
110.8,1557.0
114.2,1321.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
100.1,1809.0
114.7,852.0
108.4,1113.0
0.0,0.0
102.6,1358.0
100.6,1444.0
120.7,442.0
96.9,1533.0
95.4,1587.0
93.9,1653.0
0.0,0.0
0.0,0.0
99.9,813.0
103.7,537.0
104.3,464.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
88.8,612.0
79.8,1869.0
81.2,1212.0
0.0,0.0
75.7,1030.0
73.1,601.0
0.0,0.0
69.7,465.0
0.0,0.0
65.4,646.0
64.2,673.0
62.6,520.0
61.3,544.0
59.8,470.0
0.0,0.0
54.6,532.0
0.0,0.0
51.9,525.0
50.0,470.0
0.0,0.0
0.0,0.0
0.0,0.0
46.4,732.0
35.1,416.0
29.4,490.0
37.0,686.0
37.2,552.0
29.7,412.0
28.2,352.0
31.1,333.0
32.1,327.0
0.0,0.0
100.9,2302.0
96.4,349.0
104.4,1504.0
105.2,1252.0
105.8,656.0
108.1,578.0
107.8,1732.0
0.0,0.0
0.0,0.0
0.0,0.0
113.4,1834.0
117.1,1512.0
125.4,731.0
131.3,481.0
139.2,271.0
138.2,267.0
106.0,1523.0
126.7,512.0
135.8,254.0
133.6,271.0
105.0,1427.0
122.9,473.0
129.9,252.0
127.6,271.0
96.8,1794.0
111.4,783.0
98.0,1581.0
91.1,2155.0
97.7,1496.0
93.5,1825.0
106.9,771.0
111.9,475.0
117.3,245.0
114.4,289.0
95.6,1319.0
102.8,718.0
106.6,450.0
109.3,286.0
108.5,265.0
102.3,483.0
