OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_ALTITUDE
70.0,620.0
73.2,772.0
78.1,1144.0
83.6,1745.0
78.6,871.0
83.2,1287.0
83.1,1074.0
86.1,1333.0
89.7,1758.0
87.0,1039.0
89.5,1218.0
90.0,1061.0
90.7,932.0
90.1,635.0
92.4,743.0
95.1,957.0
95.6,766.0
100.0,1561.0
99.5,975.0
99.9,732.0
103.8,1559.0
102.8,705.0
105.3,1001.0
105.8,724.0
108.6,1272.0
109.9,1896.0
111.2,1531.0
112.4,1013.0
113.8,981.0
115.3,1032.0
114.0,2534.0
117.3,1550.0
119.0,1340.0
118.8,1850.0
118.4,2273.0
123.9,793.0
121.8,1860.0
125.5,1224.0
128.1,855.0
128.7,1073.0
130.8,878.0
129.2,1442.0
131.1,1284.0
130.3,1565.0
127.7,2060.0
123.0,2834.0
130.6,1871.0
133.2,1661.0
135.1,1551.0
136.9,1409.0
139.5,1249.0
125.4,2792.0
129.7,2344.0
129.2,2433.0
132.6,2126.0
138.9,1621.0
120.4,3487.0
135.7,1914.0
130.4,2403.0
128.4,2604.0
141.2,1568.0
122.8,3180.0
118.5,3677.0
120.8,3337.0
154.7,862.0
139.1,1714.0
133.3,2121.0
133.1,2122.0
126.3,2672.0
130.3,2242.0
135.4,1799.0
137.5,1636.0
126.8,2444.0
127.4,2288.0
141.5,1363.0
132.9,1865.0
125.8,2327.0
127.7,2125.0
118.1,2939.0
137.4,1376.0
120.6,2578.0
119.5,2617.0
114.5,3063.0
113.4,3109.0
117.6,2594.0
118.5,2437.0
112.6,2893.0
108.4,3293.0
129.4,1282.0
115.7,2316.0
134.9,804.0
0.0,0.0
122.6,1456.0
118.3,1728.0
120.4,1460.0
114.9,1850.0
116.7,1582.0
123.3,951.0
121.9,963.0
115.8,1347.0
112.4,1557.0
112.8,1401.0
120.4,665.0
117.5,773.0
100.4,2506.0
108.0,1397.0
112.5,830.0
103.1,1683.0
0.0,0.0
102.8,1419.0
98.9,1792.0
101.5,1270.0
95.4,1995.0
95.4,1802.0
97.8,1245.0
96.6,1042.0
92.3,1501.0
88.6,2027.0
91.9,1136.0
91.0,1058.0
89.5,1076.0
0.0,0.0
87.4,957.0
86.4,896.0
85.4,803.0
84.7,679.0
84.5,494.0
81.0,832.0
79.2,921.0
78.4,773.0
76.6,851.0
74.9,937.0
75.1,533.0
72.5,781.0
70.3,1201.0
69.9,686.0
67.8,1403.0
67.4,564.0
65.2,897.0
64.0,1281.0
62.5,721.0
61.8,1469.0
59.7,633.0
59.6,1486.0
57.3,1118.0
55.3,726.0
53.5,1108.0
50.9,529.0
49.6,441.0
50.5,1257.0
47.8,986.0
45.5,771.0
44.0,758.0
41.8,461.0
40.3,446.0
38.8,479.0
37.5,379.0
35.8,497.0
34.2,473.0
33.0,356.0
31.3,516.0
30.1,332.0
28.2,380.0
28.3,662.0
25.1,373.0
24.4,313.0
21.9,400.0
23.2,656.0
18.8,384.0
18.7,537.0
17.2,528.0
16.0,533.0
13.6,331.0
11.1,382.0
9.6,374.0
9.7,327.0
12.8,589.0
5.9,431.0
4.0,358.0
0.0,0.0
1.0,370.0
6.2,465.0
3.4,361.0
4.4,376.0
14.7,328.0
11.1,351.0
19.2,347.0
17.1,339.0
16.8,369.0
18.4,363.0
31.2,595.0
28.6,424.0
29.3,355.0
30.9,379.0
34.5,478.0
33.8,360.0
35.5,373.0
42.0,607.0
38.9,383.0
40.0,360.0
45.1,529.0
46.9,570.0
54.2,881.0
47.3,401.0
48.3,378.0
56.2,623.0
56.0,513.0
54.5,367.0
67.3,1116.0
62.7,635.0
65.2,698.0
0.0,0.0
62.9,377.0
72.6,935.0
69.8,472.0
74.0,658.0
76.1,697.0
82.8,921.0
86.7,1032.0
90.0,1330.0
92.5,1280.0
87.6,471.0
97.2,1089.0
100.0,1056.0
100.3,821.0
102.8,1041.0
104.1,987.0
0.0,0.0
106.7,870.0
0.0,0.0
0.0,0.0
0.0,0.0
109.7,436.0
114.4,949.0
116.0,1185.0
117.0,1512.0
118.8,1115.0
119.7,657.0
0.0,0.0
