DATETIME,OUTBOUND_ALTITUDE
1979-06-16 21:46:41,356.0
1979-06-17 21:50:17,340.0
1979-06-19 21:57:02,357.0
1979-06-20 22:00:16,522.0
1979-06-21 22:03:26,322.0
1979-06-22 22:06:26,409.0
1979-06-23 22:08:18,269.0
1979-06-24 22:09:54,345.0
1979-06-25 22:11:14,335.0
1979-06-26 22:12:21,725.0
1979-06-27 22:13:18,450.0
1979-06-28 22:14:05,560.0
1979-06-29 22:14:45,317.0
1979-06-30 22:15:18,433.0
1979-07-01 22:15:45,368.0
1979-07-02 22:16:06,267.0
1979-07-03 22:16:21,343.0
1979-07-04 22:16:32,0.0
1979-07-05 22:16:38,472.0
1979-07-06 22:16:44,567.0
1979-07-07 22:16:36,425.0
1979-07-08 22:16:28,584.0
1979-07-11 22:15:34,630.0
1979-07-12 22:15:10,820.0
1979-07-13 22:14:34,493.0
1979-07-14 22:13:56,732.0
1979-07-15 22:13:13,639.0
1979-07-16 22:12:24,1329.0
1979-07-17 22:11:29,1092.0
1979-07-18 22:10:28,1104.0
1979-07-19 22:09:21,953.0
1979-07-20 22:08:06,976.0
1979-07-21 22:06:45,423.0
1979-07-22 22:05:16,565.0
1979-07-23 22:03:40,490.0
1979-07-24 22:01:57,585.0
1979-07-25 22:04:11,990.0
1979-07-26 22:06:17,732.0
1979-07-27 22:08:17,786.0
1979-07-28 22:10:08,1344.0
1979-07-29 22:11:50,628.0
1979-07-30 22:13:26,733.0
1979-07-31 22:14:55,1182.0
1979-08-01 22:16:16,740.0
1979-08-02 22:17:32,941.0
1979-08-03 22:18:42,752.0
1979-08-04 22:19:47,907.0
1979-08-05 22:20:48,1033.0
1979-08-06 22:21:47,1336.0
1979-08-07 22:22:41,1263.0
1979-08-08 22:23:34,737.0
1979-08-09 22:24:22,965.0
1979-09-13 22:49:17,0.0
1979-09-15 22:45:33,761.0
1979-09-17 23:07:11,2618.0
1979-09-21 23:47:03,2754.0
1979-09-24 00:05:37,4440.0
1979-09-25 00:14:55,0.0
1979-09-27 00:33:13,0.0
1979-09-28 00:41:21,1508.0
1979-09-30 00:57:31,0.0
1979-10-01 01:05:34,388.0
1979-10-02 01:13:37,598.0
1979-10-04 01:29:30,2241.0
1979-10-05 01:36:30,3002.0
1979-10-07 01:50:18,1015.0
1979-10-08 01:57:10,1002.0
1979-10-09 02:04:01,2773.0
1979-10-11 02:17:35,1915.0
1979-10-12 02:23:59,2313.0
1979-10-13 02:30:23,3180.0
1979-10-16 02:49:24,2503.0
1979-10-18 03:01:58,465.0
1979-10-19 03:08:14,1651.0
1979-10-20 03:14:28,1870.0
1979-10-21 03:20:41,2182.0
1979-10-22 03:26:53,2250.0
1979-10-23 03:33:04,1603.0
1979-10-24 03:39:14,1890.0
1979-10-25 03:45:24,857.0
1979-10-26 03:51:32,839.0
1979-10-29 04:09:53,0.0
1979-10-30 04:15:58,2025.0
1979-11-01 04:28:06,924.0
1979-11-02 04:34:07,2126.0
1979-11-05 04:52:07,0.0
1979-11-06 04:58:05,1508.0
1979-11-07 05:04:01,875.0
1979-11-08 05:09:56,923.0
1979-11-09 05:15:50,912.0
1979-11-10 05:21:42,0.0
