INBOUND_SOLAR_ZENITH_ANGLE,INBOUND_ALTITUDE
0.0,0.0
103.9,1301.0
103.8,1476.0
110.5,959.0
112.0,1220.0
109.3,1885.0
121.5,1153.0
125.1,1007.0
130.9,758.0
124.9,1681.0
144.4,853.0
126.4,2187.0
122.5,2643.0
139.9,1496.0
115.4,3652.0
145.1,1487.0
128.7,2601.0
0.0,0.0
144.0,1685.0
168.3,807.0
129.8,2727.0
137.8,2138.0
151.1,1391.0
128.6,2873.0
129.7,2792.0
144.4,1727.0
129.9,2785.0
0.0,0.0
151.8,1254.0
139.4,1992.0
131.9,2580.0
130.4,2699.0
134.8,2278.0
135.2,2213.0
126.2,3073.0
126.3,3040.0
124.5,3223.0
136.1,1945.0
138.4,1660.0
122.9,3312.0
130.5,2324.0
139.8,1053.0
0.0,0.0
127.1,2318.0
123.5,2749.0
123.8,2592.0
129.3,1543.0
128.2,1535.0
127.7,1391.0
121.9,2179.0
119.5,2524.0
122.3,1526.0
122.0,896.0
118.8,1415.0
116.3,596.0
112.7,449.0
111.9,488.0
113.6,1479.0
111.9,2157.0
107.9,537.0
107.8,715.0
103.1,690.0
101.1,643.0
101.0,836.0
95.0,517.0
97.9,1087.0
87.8,705.0
93.0,1796.0
82.4,771.0
79.4,774.0
72.0,406.0
74.9,650.0
68.4,443.0
66.6,439.0
67.6,575.0
64.2,475.0
63.6,526.0
63.9,858.0
61.3,781.0
60.9,859.0
53.5,494.0
50.0,413.0
50.4,578.0
45.8,431.0
40.6,410.0
43.4,615.0
35.1,442.0
21.7,473.0
18.6,474.0
9.2,398.0
10.7,397.0
18.9,333.0
23.2,321.0
24.1,735.0
35.6,308.0
0.0,0.0
87.2,445.0
90.4,811.0
92.4,744.0
90.5,1259.0
95.6,905.0
0.0,0.0
101.9,1010.0
101.7,1204.0
101.4,1570.0
0.0,0.0
0.0,0.0
147.4,1177.0
155.5,680.0
158.9,415.0
157.5,411.0
134.9,1940.0
149.1,853.0
152.8,473.0
151.6,451.0
132.9,1993.0
144.4,808.0
145.3,553.0
144.3,468.0
131.7,1826.0
136.7,1156.0
138.8,727.0
138.3,502.0
136.9,447.0
127.7,1842.0
132.0,1008.0
132.0,718.0
130.8,438.0
129.1,401.0
122.4,2036.0
125.0,1224.0
125.0,684.0
123.2,440.0
121.8,466.0
120.7,762.0
