DATETIME,INBOUND_ALTITUDE,OUTBOUND_ALTITUDE
1979-05-07 21:44:52,733.0,510.0
1979-05-08 21:44:00,483.0,378.0
1979-05-09 21:42:00,799.0,457.0
1979-05-10 21:39:43,693.0,315.0
1979-05-11 21:37:14,576.0,360.0
1979-05-12 21:34:39,1038.0,570.0
1979-05-13 21:31:59,949.0,428.0
1979-05-14 21:29:15,742.0,478.0
1979-05-15 21:26:32,750.0,431.0
1979-05-16 21:23:29,689.0,435.0
1979-05-17 21:19:45,370.0,313.0
1979-05-18 21:15:45,1410.0,683.0
1979-05-19 21:11:38,615.0,403.0
1979-05-20 21:07:28,491.0,383.0
1979-05-21 21:03:15,582.0,413.0
1979-05-22 20:59:00,951.0,531.0
1979-05-23 20:54:44,421.0,353.0
1979-05-24 20:50:11,419.0,340.0
1979-05-25 20:44:13,611.0,370.0
1979-05-26 20:38:02,780.0,387.0
1979-05-28 20:25:18,709.0,337.0
1979-05-29 20:18:42,318.0,285.0
1979-05-30 20:11:08,307.0,360.0
1979-05-31 20:03:05,492.0,323.0
1979-06-01 20:11:33,754.0,368.0
1979-06-02 20:19:40,318.0,326.0
1979-06-03 20:27:45,393.0,0.0
1979-06-05 20:43:49,545.0,510.0
1979-06-06 20:51:33,528.0,400.0
1979-06-07 20:57:58,958.0,478.0
1979-06-08 21:04:07,713.0,439.0
1979-06-09 21:10:06,708.0,338.0
1979-06-10 21:16:00,508.0,290.0
1979-06-11 21:21:48,658.0,315.0
1979-06-12 21:27:33,383.0,492.0
1979-06-13 21:33:15,342.0,335.0
1979-06-14 21:38:44,151.0,151.0
1979-06-15 21:42:52,329.0,296.0
1979-06-16 21:46:41,386.0,356.0
1979-06-17 21:50:17,417.0,340.0
1979-06-19 21:57:02,699.0,357.0
1979-06-20 22:00:16,891.0,522.0
1979-06-21 22:03:26,836.0,322.0
1979-06-22 22:06:26,636.0,409.0
1979-06-23 22:08:18,354.0,269.0
1979-06-24 22:09:54,299.0,345.0
1979-06-25 22:11:14,604.0,335.0
1979-06-26 22:12:21,1257.0,725.0
1979-06-27 22:13:18,417.0,450.0
1979-06-28 22:14:05,847.0,560.0
1979-06-29 22:14:45,495.0,317.0
1979-06-30 22:15:18,873.0,433.0
1979-07-01 22:15:45,326.0,368.0
1979-07-02 22:16:06,382.0,267.0
1979-07-03 22:16:21,651.0,343.0
1979-07-04 22:16:32,389.0,0.0
1979-07-05 22:16:38,483.0,472.0
1979-07-06 22:16:44,342.0,567.0
1979-07-07 22:16:36,520.0,425.0
1979-07-08 22:16:28,327.0,584.0
1979-07-11 22:15:34,1408.0,630.0
1979-07-12 22:15:10,1001.0,820.0
1979-07-13 22:14:34,427.0,493.0
1979-07-14 22:13:56,732.0,732.0
1979-07-15 22:13:13,623.0,639.0
1979-07-16 22:12:24,1031.0,1329.0
1979-07-17 22:11:29,875.0,1092.0
1979-07-18 22:10:28,797.0,1104.0
1979-07-19 22:09:21,582.0,953.0
1979-07-20 22:08:06,883.0,976.0
1979-07-21 22:06:45,442.0,423.0
1979-07-22 22:05:16,525.0,565.0
1979-07-23 22:03:40,572.0,490.0
1979-07-24 22:01:57,718.0,585.0
1979-07-25 22:04:11,1019.0,990.0
