OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
31.0,-10.9
31.5,-9.5
34.3,-11.7
32.4,-5.7
43.0,-20.5
33.8,-1.6
35.6,-2.4
41.2,-10.9
45.9,-16.7
44.9,-12.4
42.4,-3.3
44.3,-4.3
49.7,-9.7
50.8,-8.8
53.5,-11.6
54.8,-11.0
55.8,-9.6
58.3,-12.1
59.8,-11.8
69.3,-29.1
71.5,-30.9
68.2,-21.2
71.6,-25.6
72.9,-25.4
70.0,-14.7
73.2,-19.2
78.1,-27.9
83.6,-38.1
78.6,-21.9
83.2,-30.7
83.1,-26.5
86.1,-31.6
89.7,-38.3
87.0,-25.9
89.5,-29.5
90.0,-26.3
90.7,-23.5
90.1,-15.5
92.4,-18.7
95.1,-24.1
95.6,-19.3
100.0,-35.5
99.5,-24.5
99.9,-18.4
103.8,-35.4
102.8,-17.6
105.3,-25.0
105.8,-18.1
108.6,-30.5
109.9,-40.3
111.2,-34.9
112.4,-25.1
113.8,-24.4
115.3,-25.5
114.0,-47.7
117.3,-35.0
119.0,-31.4
118.8,-39.3
118.4,-44.7
123.9,-20.1
121.8,-39.7
125.5,-29.5
128.1,-21.4
128.7,-26.3
130.8,-21.8
129.2,-33.1
131.1,-30.8
130.3,-35.4
127.7,-42.3
123.0,-50.7
130.6,-39.7
133.2,-36.6
135.1,-34.8
136.9,-33.1
139.5,-30.1
125.4,-50.3
129.7,-45.6
129.2,-46.5
132.6,-42.9
138.9,-35.9
120.4,-56.3
135.7,-40.5
130.4,-46.3
128.4,-48.4
141.2,-35.3
122.8,-53.6
118.5,-57.4
120.8,-55.1
154.7,-22.0
139.1,-37.7
133.3,-43.1
133.1,-43.0
126.3,-49.0
130.3,-44.8
135.4,-39.1
137.5,-36.7
126.8,-46.9
127.4,-45.1
141.5,-32.1
132.9,-39.8
125.8,-45.9
127.7,-43.5
118.1,-51.9
137.4,-32.7
120.6,-48.4
119.5,-48.8
114.5,-53.0
113.4,-53.5
117.6,-48.6
118.5,-47.0
112.6,-51.6
108.4,-55.0
129.4,-30.9
115.7,-45.7
134.9,-20.5
0.0,0.0
122.6,-33.9
118.3,-38.2
120.4,-34.0
114.9,-39.9
116.7,-36.0
123.3,-24.1
121.9,-24.4
115.8,-32.2
112.4,-35.7
112.8,-33.1
120.4,-16.7
117.5,-19.8
100.4,-48.0
108.0,-33.2
112.5,-21.4
103.1,-37.8
0.0,0.0
102.8,-33.6
98.9,-39.4
101.5,-31.0
95.4,-42.2
95.4,-39.7
