OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
106.7,-38.7
0.0,0.0
117.6,-9.9
0.0,0.0
108.2,-26.0
95.2,-50.2
106.2,-16.4
0.0,0.0
92.0,-44.1
0.0,0.0
91.9,-30.1
88.9,-31.6
86.3,-25.5
0.0,0.0
83.1,-27.6
84.2,-15.0
0.0,0.0
76.6,-36.9
0.0,0.0
73.4,-16.8
0.0,0.0
66.5,-40.8
64.8,-35.3
61.5,-20.6
57.2,-19.7
48.4,-10.2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
84.3,-42.5
0.0,0.0
83.1,-30.5
0.0,0.0
87.5,-35.4
0.0,0.0
88.8,-31.4
0.0,0.0
94.7,-39.4
0.0,0.0
99.1,-50.1
100.3,-44.4
0.0,0.0
103.7,-47.4
0.0,0.0
105.6,-46.5
107.7,-37.5
0.0,0.0
110.0,-39.6
111.2,-38.8
114.0,-28.0
0.0,0.0
115.5,-39.8
0.0,0.0
0.0,0.0
0.0,0.0
122.7,-46.0
0.0,0.0
127.6,-39.2
0.0,0.0
0.0,0.0
130.6,-45.8
125.5,-51.3
0.0,0.0
0.0,0.0
133.8,-42.9
0.0,0.0
121.4,-53.6
130.8,-44.6
127.9,-46.6
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
129.5,-42.2
0.0,0.0
0.0,0.0
103.7,-63.9
0.0,0.0
107.2,-60.1
127.5,-39.8
112.7,-53.9
0.0,0.0
0.0,0.0
0.0,0.0
110.8,-53.1
114.2,-48.7
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
100.1,-57.8
114.7,-37.8
108.4,-45.1
0.0,0.0
102.6,-50.6
100.6,-52.3
120.7,-16.3
96.9,-54.0
95.4,-55.0
93.9,-56.1
0.0,0.0
0.0,0.0
99.9,-37.7
103.7,-26.0
104.3,-20.9
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
88.8,-30.4
79.8,-59.3
81.2,-48.4
0.0,0.0
75.7,-44.1
73.1,-29.6
0.0,0.0
69.7,-21.0
0.0,0.0
65.4,-31.4
64.2,-32.5
62.6,-24.7
61.3,-26.0
59.8,-20.8
0.0,0.0
54.6,-25.1
0.0,0.0
51.9,-24.6
50.0,-20.4
0.0,0.0
0.0,0.0
0.0,0.0
46.4,-34.4
35.1,-13.1
29.4,-23.0
37.0,-33.3
37.2,-30.1
29.7,-21.9
28.2,-17.2
31.1,-16.4
32.1,-16.1
0.0,0.0
100.9,-66.7
96.4,-27.4
104.4,-58.0
105.2,-53.8
105.8,-39.9
108.1,-37.2
107.8,-61.1
0.0,0.0
0.0,0.0
0.0,0.0
113.4,-62.0
117.1,-57.6
125.4,-43.9
131.3,-36.4
139.2,-27.0
138.2,-27.0
106.0,-59.3
126.7,-37.6
135.8,-25.8
133.6,-27.2
105.0,-57.9
122.9,-36.3
129.9,-25.9
127.6,-27.3
96.8,-63.0
111.4,-45.7
98.0,-60.5
91.1,-67.0
97.7,-59.4
93.5,-63.5
106.9,-45.5
111.9,-36.6
117.3,-25.6
114.4,-28.5
95.6,-56.7
102.8,-44.2
106.6,-35.8
109.3,-28.3
108.5,-27.2
102.3,-37.3
