OUTBOUND_LATITUDE
1.5
-15.8
-13.0
-18.7
-35.3
-13.0
-21.1
-12.3
-16.0
-6.0
-17.1
-12.5
-14.1
-23.6
-23.5
-21.7
-25.4
-26.0
-26.1
-19.5
-20.7
-25.5
-6.2
-22.1
-27.2
-3.1
-25.7
-22.7
-38.3
-24.3
-34.6
-40.6
-42.2
-36.4
-29.2
-40.1
-32.5
-6.6
-31.8
-25.5
-51.1
-33.1
-17.9
-23.0
-27.5
-47.1
-38.1
-46.3
-24.5
-11.9
-26.8
-54.3
0.0
-41.3
-40.8
0.0
-46.5
0.0
-40.0
-43.7
-33.1
-29.9
-42.7
-33.2
-25.3
0.0
0.0
-19.2
0.0
-28.0
-17.9
-49.1
-54.4
-40.6
-47.7
8.2
-46.4
-31.2
-26.9
-66.6
-39.7
0.0
-5.3
-28.0
-26.7
-32.0
-21.5
-31.0
-23.6
-28.2
-41.7
-32.0
-6.4
-31.8
-18.3
-30.2
-25.2
0.0
-44.6
-24.7
-32.2
-36.3
-30.9
-29.9
-26.6
0.0
-21.2
-12.6
-23.7
-22.9
-21.8
-25.9
-24.4
-27.2
-13.5
-31.3
-18.9
-32.0
-18.6
-18.8
-23.6
-17.8
-15.9
-13.3
-16.7
-18.4
-28.4
-12.2
-16.6
-18.3
-14.1
-18.7
-21.5
-21.2
-15.6
-15.7
-5.7
-14.2
-21.8
-8.6
-7.6
-9.1
-1.9
-9.0
-8.7
-4.1
-7.3
-0.4
-2.6
-11.0
-5.4
-7.3
-5.2
-6.4
-0.2
-14.6
-4.4
-3.2
-4.4
-9.0
-0.9
-2.1
-3.4
-3.9
-0.9
1.0
-2.9
-0.7
-2.8
-0.3
0.0
-8.2
-5.2
-8.2
-6.5
-1.6
1.5
0.2
-8.0
-0.6
17.4
0.1
-3.0
-2.0
-2.7
-9.6
-0.5
-5.8
1.7
-2.7
-2.1
-16.5
-7.3
-11.4
-0.8
-6.5
-3.5
2.5
-2.1
0.0
-8.1
-11.6
-6.1
-12.1
-13.7
-19.1
-9.0
-16.8
-14.1
-30.1
-25.5
-25.8
-22.5
-23.1
-6.4
-11.9
-9.2
-12.6
-23.5
-17.1
-18.5
-30.6
-14.0
-17.2
-27.6
-17.4
-22.5
-17.8
-21.7
-24.5
-30.4
-29.1
-17.2
-22.9
0.0
-17.0
-46.8
-48.6
-61.2
0.0
0.0
-33.4
0.0
-4.9
-12.9
-43.6
-51.3
-24.4
-24.0
-49.1
-39.6
-44.5
-52.9
-46.5
41.3
-35.8
-39.0
-43.0
-43.8
-35.1
-39.3
-20.7
-20.2
0.0
-41.1
-22.4
-42.5
0.0
-33.9
-21.4
-22.6
-22.3
0.0
0.0
0.0
0.0
-32.4
0.0
-22.5
-38.7
-32.6
-32.7
-24.6
-19.4
-37.8
-17.1
-17.7
-26.0
0.0
-36.6
-23.9
-37.9
-26.9
-39.7
-43.2
-39.9
-28.9
-25.2
-24.5
-23.6
-35.2
-30.1
-15.0
-21.6
-23.6
-8.1
-16.4
-10.1
-8.5
-10.0
